iteration,sites_found,n_total,n_sampled
319,6,1502,1201
320,4,1502,1201
321,1,1502,1201
322,6,1502,1201
323,4,1502,1201
324,6,1502,1201
325,2,1502,1201
326,1,1502,1201
327,4,1502,1201
328,4,1502,1201
329,4,1502,1201
330,4,1502,1201
331,6,1502,1201
332,5,1502,1201
333,6,1502,1201
334,6,1502,1201
335,3,1502,1201
336,4,1502,1201
337,5,1502,1201
338,1,1502,1201
339,6,1502,1201
340,3,1502,1201
341,5,1502,1201
342,1,1502,1201
343,6,1502,1201
344,6,1502,1201
345,3,1502,1201
346,7,1502,1201
347,8,1502,1201
348,4,1502,1201
349,4,1502,1201
350,7,1502,1201
351,5,1502,1201
352,8,1502,1201
353,7,1502,1201
354,4,1502,1201
355,5,1502,1201
356,3,1502,1201
357,5,1502,1201
358,6,1502,1201
359,2,1502,1201
360,7,1502,1201
361,3,1502,1201
362,5,1502,1201
363,4,1502,1201
364,1,1502,1201
365,6,1502,1201
366,8,1502,1201
367,3,1502,1201
368,5,1502,1201
369,2,1502,1201
370,2,1502,1201
371,5,1502,1201
372,5,1502,1201
373,2,1502,1201
374,5,1502,1201
375,6,1502,1201
376,6,1502,1201
377,5,1502,1201
378,5,1502,1201
379,5,1502,1201
380,10,1502,1201
381,4,1502,1201
382,3,1502,1201
383,5,1502,1201
384,5,1502,1201
385,7,1502,1201
386,1,1502,1201
387,5,1502,1201
388,1,1502,1201
389,5,1502,1201
390,7,1502,1201
391,8,1502,1201
392,5,1502,1201
393,5,1502,1201
394,3,1502,1201
395,14,1502,1201
396,4,1502,1201
397,3,1502,1201
398,3,1502,1201
399,5,1502,1201
400,8,1502,1201
401,6,1502,1201
402,6,1502,1201
403,6,1502,1201
404,3,1502,1201
405,4,1502,1201
406,5,1502,1201
407,4,1502,1201
408,2,1502,1201
409,5,1502,1201
410,8,1502,1201
411,6,1502,1201
412,9,1502,1201
413,7,1502,1201
414,4,1502,1201
415,7,1502,1201
416,6,1502,1201
417,3,1502,1201
418,4,1502,1201
419,7,1502,1201
420,7,1502,1201
421,1,1502,1201
422,1,1502,1201
423,9,1502,1201
424,3,1502,1201
425,3,1502,1201
426,1,1502,1201
427,6,1502,1201
428,6,1502,1201
429,4,1502,1201
430,5,1502,1201
431,7,1502,1201
432,5,1502,1201
433,5,1502,1201
434,5,1502,1201
435,3,1502,1201
436,4,1502,1201
437,2,1502,1201
438,6,1502,1201
439,3,1502,1201
440,4,1502,1201
441,6,1502,1201
442,7,1502,1201
443,4,1502,1201
444,5,1502,1201
445,1,1502,1201
446,5,1502,1201
447,3,1502,1201
448,5,1502,1201
449,5,1502,1201
450,3,1502,1201
451,7,1502,1201
452,5,1502,1201
453,4,1502,1201
454,6,1502,1201
455,2,1502,1201
456,4,1502,1201
457,4,1502,1201
458,8,1502,1201
459,9,1502,1201
460,3,1502,1201
461,4,1502,1201
462,1,1502,1201
463,4,1502,1201
464,6,1502,1201
465,4,1502,1201
466,6,1502,1201
467,8,1502,1201
468,6,1502,1201
469,2,1502,1201
470,4,1502,1201
471,6,1502,1201
472,4,1502,1201
473,3,1502,1201
474,3,1502,1201
475,2,1502,1201
476,3,1502,1201
477,6,1502,1201
478,2,1502,1201
479,5,1502,1201
480,5,1502,1201
481,3,1502,1201
482,5,1502,1201
483,3,1502,1201
484,3,1502,1201
485,0,1502,1201
486,5,1502,1201
487,3,1502,1201
488,3,1502,1201
489,3,1502,1201
490,8,1502,1201
491,3,1502,1201
492,4,1502,1201
493,7,1502,1201
494,11,1502,1201
495,5,1502,1201
496,4,1502,1201
497,4,1502,1201
498,7,1502,1201
499,4,1502,1201
500,5,1502,1201
501,5,1502,1201
502,1,1502,1201
503,7,1502,1201
504,7,1502,1201
505,2,1502,1201
506,1,1502,1201
507,6,1502,1201
508,5,1502,1201
509,9,1502,1201
510,7,1502,1201
511,2,1502,1201
512,6,1502,1201
513,3,1502,1201
514,6,1502,1201
515,7,1502,1201
516,3,1502,1201
517,5,1502,1201
518,2,1502,1201
519,4,1502,1201
520,5,1502,1201
521,2,1502,1201
522,2,1502,1201
523,5,1502,1201
524,4,1502,1201
525,7,1502,1201
526,6,1502,1201
527,2,1502,1201
528,7,1502,1201
529,5,1502,1201
530,5,1502,1201
531,5,1502,1201
532,5,1502,1201
533,3,1502,1201
534,6,1502,1201
535,5,1502,1201
536,1,1502,1201
537,6,1502,1201
538,1,1502,1201
539,6,1502,1201
540,6,1502,1201
541,4,1502,1201
542,6,1502,1201
543,5,1502,1201
544,9,1502,1201
545,2,1502,1201
546,5,1502,1201
547,6,1502,1201
548,4,1502,1201
549,7,1502,1201
550,3,1502,1201
551,0,1502,1201
552,2,1502,1201
553,5,1502,1201
554,4,1502,1201
555,5,1502,1201
556,5,1502,1201
557,4,1502,1201
558,3,1502,1201
559,6,1502,1201
560,6,1502,1201
561,2,1502,1201
562,8,1502,1201
563,7,1502,1201
564,7,1502,1201
565,3,1502,1201
566,11,1502,1201
567,2,1502,1201
568,6,1502,1201
569,1,1502,1201
570,6,1502,1201
571,9,1502,1201
572,3,1502,1201
573,6,1502,1201
574,3,1502,1201
575,0,1502,1201
576,3,1502,1201
577,6,1502,1201
578,4,1502,1201
579,12,1502,1201
580,3,1502,1201
581,3,1502,1201
582,4,1502,1201
583,2,1502,1201
584,5,1502,1201
585,4,1502,1201
586,7,1502,1201
587,9,1502,1201
588,1,1502,1201
589,6,1502,1201
590,9,1502,1201
591,2,1502,1201
592,3,1502,1201
593,5,1502,1201
594,0,1502,1201
595,7,1502,1201
596,5,1502,1201
597,9,1502,1201
598,3,1502,1201
599,9,1502,1201
600,3,1502,1201
601,7,1502,1201
602,10,1502,1201
603,3,1502,1201
604,1,1502,1201
605,3,1502,1201
606,5,1502,1201
607,4,1502,1201
608,2,1502,1201
609,5,1502,1201
610,2,1502,1201
611,6,1502,1201
612,3,1502,1201
613,4,1502,1201
614,3,1502,1201
615,5,1502,1201
616,4,1502,1201
617,5,1502,1201
618,3,1502,1201
619,8,1502,1201
620,4,1502,1201
621,7,1502,1201
622,3,1502,1201
623,4,1502,1201
624,2,1502,1201
625,4,1502,1201
626,4,1502,1201
627,5,1502,1201
628,3,1502,1201
629,3,1502,1201
630,2,1502,1201
631,2,1502,1201
632,12,1502,1201
633,4,1502,1201
634,8,1502,1201
635,2,1502,1201
636,2,1502,1201
637,3,1502,1201
638,1,1502,1201
639,2,1502,1201
640,3,1502,1201
641,4,1502,1201
642,4,1502,1201
643,4,1502,1201
644,10,1502,1201
645,5,1502,1201
646,7,1502,1201
647,4,1502,1201
648,5,1502,1201
649,3,1502,1201
650,5,1502,1201
651,4,1502,1201
652,5,1502,1201
653,2,1502,1201
654,5,1502,1201
655,4,1502,1201
656,1,1502,1201
657,2,1502,1201
658,5,1502,1201
659,3,1502,1201
660,3,1502,1201
661,2,1502,1201
662,3,1502,1201
663,3,1502,1201
664,7,1502,1201
665,3,1502,1201
666,9,1502,1201
667,4,1502,1201
668,3,1502,1201
669,9,1502,1201
670,7,1502,1201
671,4,1502,1201
672,6,1502,1201
673,3,1502,1201
674,6,1502,1201
675,2,1502,1201
676,7,1502,1201
677,3,1502,1201
678,9,1502,1201
679,4,1502,1201
680,3,1502,1201
681,3,1502,1201
682,3,1502,1201
683,10,1502,1201
684,5,1502,1201
685,3,1502,1201
686,7,1502,1201
687,4,1502,1201
688,5,1502,1201
689,4,1502,1201
690,6,1502,1201
691,8,1502,1201
692,3,1502,1201
693,3,1502,1201
694,5,1502,1201
695,2,1502,1201
696,2,1502,1201
697,1,1502,1201
698,7,1502,1201
699,7,1502,1201
700,1,1502,1201
701,11,1502,1201
702,7,1502,1201
703,2,1502,1201
704,3,1502,1201
705,4,1502,1201
706,4,1502,1201
707,7,1502,1201
708,4,1502,1201
709,4,1502,1201
710,2,1502,1201
711,0,1502,1201
712,6,1502,1201
713,7,1502,1201
714,5,1502,1201
715,4,1502,1201
716,6,1502,1201
717,9,1502,1201
718,4,1502,1201
719,8,1502,1201
720,3,1502,1201
721,3,1502,1201
722,2,1502,1201
723,4,1502,1201
724,5,1502,1201
725,0,1502,1201
726,6,1502,1201
727,4,1502,1201
728,7,1502,1201
729,4,1502,1201
730,6,1502,1201
731,6,1502,1201
732,8,1502,1201
733,2,1502,1201
734,6,1502,1201
735,5,1502,1201
736,4,1502,1201
737,5,1502,1201
738,2,1502,1201
739,3,1502,1201
740,7,1502,1201
741,5,1502,1201
742,3,1502,1201
743,5,1502,1201
744,6,1502,1201
745,3,1502,1201
746,5,1502,1201
747,8,1502,1201
748,5,1502,1201
749,2,1502,1201
750,2,1502,1201
751,1,1502,1201
752,2,1502,1201
753,6,1502,1201
754,0,1502,1201
755,9,1502,1201
756,7,1502,1201
757,5,1502,1201
758,5,1502,1201
759,3,1502,1201
760,7,1502,1201
761,5,1502,1201
762,7,1502,1201
763,11,1502,1201
764,2,1502,1201
765,5,1502,1201
766,7,1502,1201
767,4,1502,1201
768,7,1502,1201
769,4,1502,1201
770,6,1502,1201
771,8,1502,1201
772,5,1502,1201
773,0,1502,1201
774,5,1502,1201
775,3,1502,1201
776,4,1502,1201
777,4,1502,1201
778,5,1502,1201
779,4,1502,1201
780,10,1502,1201
781,7,1502,1201
782,2,1502,1201
783,9,1502,1201
784,7,1502,1201
785,3,1502,1201
786,6,1502,1201
787,7,1502,1201
788,4,1502,1201
789,6,1502,1201
790,5,1502,1201
791,4,1502,1201
792,3,1502,1201
793,4,1502,1201
794,3,1502,1201
795,4,1502,1201
796,2,1502,1201
797,9,1502,1201
798,11,1502,1201
799,3,1502,1201
800,7,1502,1201
801,5,1502,1201
802,5,1502,1201
803,4,1502,1201
804,8,1502,1201
805,4,1502,1201
806,5,1502,1201
807,1,1502,1201
808,4,1502,1201
809,0,1502,1201
810,7,1502,1201
811,5,1502,1201
812,3,1502,1201
813,8,1502,1201
814,4,1502,1201
815,6,1502,1201
816,6,1502,1201
817,6,1502,1201
818,3,1502,1201
819,6,1502,1201
820,5,1502,1201
821,7,1502,1201
822,5,1502,1201
823,4,1502,1201
824,8,1502,1201
825,4,1502,1201
826,6,1502,1201
827,3,1502,1201
828,4,1502,1201
829,3,1502,1201
830,4,1502,1201
831,2,1502,1201
832,5,1502,1201
833,7,1502,1201
834,7,1502,1201
835,9,1502,1201
836,2,1502,1201
837,7,1502,1201
838,5,1502,1201
839,5,1502,1201
840,5,1502,1201
841,4,1502,1201
842,5,1502,1201
843,6,1502,1201
844,3,1502,1201
845,6,1502,1201
846,5,1502,1201
847,4,1502,1201
848,4,1502,1201
849,4,1502,1201
850,7,1502,1201
851,4,1502,1201
852,3,1502,1201
853,4,1502,1201
854,5,1502,1201
855,7,1502,1201
856,3,1502,1201
857,2,1502,1201
858,8,1502,1201
859,5,1502,1201
860,1,1502,1201
861,5,1502,1201
862,1,1502,1201
863,3,1502,1201
864,5,1502,1201
865,6,1502,1201
866,9,1502,1201
867,6,1502,1201
868,2,1502,1201
869,5,1502,1201
870,4,1502,1201
871,4,1502,1201
872,5,1502,1201
873,5,1502,1201
874,3,1502,1201
875,3,1502,1201
876,5,1502,1201
877,5,1502,1201
878,7,1502,1201
879,8,1502,1201
880,4,1502,1201
881,3,1502,1201
882,5,1502,1201
883,3,1502,1201
884,6,1502,1201
885,4,1502,1201
886,6,1502,1201
887,5,1502,1201
888,9,1502,1201
889,3,1502,1201
890,4,1502,1201
891,10,1502,1201
892,7,1502,1201
893,6,1502,1201
894,1,1502,1201
895,4,1502,1201
896,4,1502,1201
897,4,1502,1201
898,3,1502,1201
899,6,1502,1201
900,5,1502,1201
901,2,1502,1201
902,7,1502,1201
903,2,1502,1201
904,5,1502,1201
905,4,1502,1201
906,7,1502,1201
907,1,1502,1201
908,4,1502,1201
909,6,1502,1201
910,4,1502,1201
911,7,1502,1201
912,8,1502,1201
913,6,1502,1201
914,3,1502,1201
915,2,1502,1201
916,5,1502,1201
917,4,1502,1201
918,7,1502,1201
919,5,1502,1201
920,2,1502,1201
921,3,1502,1201
922,6,1502,1201
923,1,1502,1201
924,4,1502,1201
925,3,1502,1201
926,3,1502,1201
927,2,1502,1201
928,3,1502,1201
929,5,1502,1201
930,9,1502,1201
931,11,1502,1201
932,3,1502,1201
933,8,1502,1201
934,8,1502,1201
935,4,1502,1201
936,5,1502,1201
937,5,1502,1201
938,5,1502,1201
939,7,1502,1201
940,5,1502,1201
941,4,1502,1201
942,6,1502,1201
943,5,1502,1201
944,6,1502,1201
945,9,1502,1201
946,6,1502,1201
947,8,1502,1201
948,8,1502,1201
949,6,1502,1201
950,5,1502,1201
951,2,1502,1201
952,3,1502,1201
953,8,1502,1201
954,3,1502,1201
955,4,1502,1201
956,4,1502,1201
957,2,1502,1201
958,4,1502,1201
959,6,1502,1201
960,3,1502,1201
961,5,1502,1201
962,8,1502,1201
963,7,1502,1201
964,6,1502,1201
965,4,1502,1201
966,7,1502,1201
967,4,1502,1201
968,4,1502,1201
969,2,1502,1201
970,6,1502,1201
971,4,1502,1201
972,3,1502,1201
973,2,1502,1201
974,5,1502,1201
975,6,1502,1201
976,4,1502,1201
977,5,1502,1201
978,5,1502,1201
979,5,1502,1201
980,9,1502,1201
981,4,1502,1201
982,7,1502,1201
983,5,1502,1201
984,10,1502,1201
985,6,1502,1201
986,10,1502,1201
987,6,1502,1201
988,5,1502,1201
989,6,1502,1201
990,2,1502,1201
991,4,1502,1201
992,5,1502,1201
993,3,1502,1201
994,4,1502,1201
995,6,1502,1201
996,5,1502,1201
997,5,1502,1201
998,4,1502,1201
999,4,1502,1201
1000,7,1502,1201

summary_statistic,value
threshold_score,58.9041
full_set_count,6
mean_bootstrap_count,4.75
sd_bootstrap_count,2.21
pct_detected_at_least_1,98.6
pct_detected_at_least_3,85.0
n_iterations,1000
sample_fraction,0.8
seed,42
